라우팅영향,유사도,test_id,질문,정답라벨,LOO예측,끌어당긴_이웃_test_id,끌어당긴_이웃_질문,이웃라벨
★,0.7789,dp_josa_law_q3,부보금융기관 조사 관련 규정 원문은 어디에서 확인할 수 있나요?,link_guide,fact,dp_josa_law_q8,부보금융기관 조사와 공동검사에 관한 내부 규정의 명칭은 무엇인가요?,fact
★,0.7789,dp_josa_law_q8,부보금융기관 조사와 공동검사에 관한 내부 규정의 명칭은 무엇인가요?,fact,link_guide,dp_josa_law_q3,부보금융기관 조사 관련 규정 원문은 어디에서 확인할 수 있나요?,link_guide
★,0.7764,amb_dr_info_aply_1,제가 망한 금융회사에 빚이 있는지 인터넷으로 확인해볼 수 있나요?,faq,link_guide,amb_uc_gudn_5,내가 예전에 거래한 그 망한 금융회사 자세한 정보는 어디서 찾아봐요?,link_guide
★,0.7470,kmrs_apply_mthd_q9,방문 신청 장소의 정확한 주소는 어떻게 되나요?,link_guide,faq,amb_mtrs_vst_rcpt_4,방문 신청하면 대상 되는지 결과는 어떻게 알려줘요?,faq
★,0.7470,amb_mtrs_vst_rcpt_4,방문 신청하면 대상 되는지 결과는 어떻게 알려줘요?,faq,link_guide,kmrs_apply_mthd_q9,방문 신청 장소의 정확한 주소는 어떻게 되나요?,link_guide
★,0.7430,ha_faq_dclr_q6,"제가 신고하려는 은닉재산에 대해 이미 다른 사람이 동일한 내용으로 먼저 신고를 한 상태라면, 제 신고는 어떻게 처리되나요?",faq,link_guide,amb_ha_center_3,은닉재산 신고한 거 어떻게 진행되는지 확인하는 데로 좀 들어가게 해줘,link_guide
★,0.7430,amb_ha_center_3,은닉재산 신고한 거 어떻게 진행되는지 확인하는 데로 좀 들어가게 해줘,link_guide,faq,ha_faq_dclr_q6,"제가 신고하려는 은닉재산에 대해 이미 다른 사람이 동일한 내용으로 먼저 신고를 한 상태라면, 제 신고는 어떻게 처리되나요?",faq
★,0.7389,ms_expln_q8,공사 홈페이지를 통한 인터넷 예금보험금 신청이 불가능한 경우는 언제인가요?,fact,link_guide,ms_aply_proc_q2,예금보험금을 인터넷으로 신청할 수 있는 곳이 어디예요?,link_guide
★,0.7310,amb_ms_expln_3,미성년자 자녀 예금도 홈페이지에서 인터넷으로 신청할 수 있나요?,faq,link_guide,ms_aply_proc_q2,예금보험금을 인터넷으로 신청할 수 있는 곳이 어디예요?,link_guide
★,0.7248,ha_center_q3,금융부실관련자의 은닉재산 정보를 직접 인터넷으로 신고하고 진행상황을 조회하기 위해 접속해야 하는 신고 바로가기 페이지 주소는 무엇인가요?,link_guide,fact,ha_center_q9,은닉재산 신고센터 안내자료에서 정의하는 '금융부실관련자'란 구체적으로 누구를 의미하나요?,fact
★,0.7248,ha_center_q9,은닉재산 신고센터 안내자료에서 정의하는 '금융부실관련자'란 구체적으로 누구를 의미하나요?,fact,link_guide,ha_center_q3,금융부실관련자의 은닉재산 정보를 직접 인터넷으로 신고하고 진행상황을 조회하기 위해 접속해야 하는 신고 바로가기 페이지 주소는 무엇인가요?,link_guide
★,0.7160,dr_credit_sprt_q2,개인신용회복지원을 직접 신청하고자 할 때 금융회사가 아닌 신용회복위원회 공식 웹사이트에 접속해 진행해야 합니다. 위원회 주소는 무엇인가요?,link_guide,fact,dr_credit_sprt_q10,"개인신용회복지원 신청은 개별 파산금융회사에 직접 신청하면 되나요, 아니면 별도의 기관에 신청해야 하나요?",fact
★,0.7160,dr_credit_sprt_q10,"개인신용회복지원 신청은 개별 파산금융회사에 직접 신청하면 되나요, 아니면 별도의 기관에 신청해야 하나요?",fact,link_guide,dr_credit_sprt_q2,개인신용회복지원을 직접 신청하고자 할 때 금융회사가 아닌 신용회복위원회 공식 웹사이트에 접속해 진행해야 합니다. 위원회 주소는 무엇인가요?,link_guide
★,0.7131,amb_uc_bkrp_mng_1,공적자금 들어간 망한 금융회사들 주소나 연락처 검색하는 데 좀 열어줘,link_guide,fact,ms_trgt_fnst_q3,파산한 금융회사가 검색이 안 되는데 어디서 더 찾아요?,fact
★,0.7068,amb_mtrs_stut_chc_3,채무 잔액이랑 반환됐는지 확인은 어디서 해요?,link_guide,fact,mtrs_stut_chc_q7,착오송금수취인이 채무 잔액을 확인하는 메뉴는 무엇인가요?,fact
★,0.6973,amb_uc_hrpe_hist_2,사망한 부모님 금융거래 한번에 조회하려면 어디 가서 접수하면 돼요? 은행에서도 되나요?,fact,link_guide,amb_uc_hrpe_hist_5,사망한 가족 금융재산이랑 빚 한번에 조회하는 서비스 좀 들어가게 해줘,link_guide
★,0.6973,amb_uc_hrpe_hist_5,사망한 가족 금융재산이랑 빚 한번에 조회하는 서비스 좀 들어가게 해줘,link_guide,fact,amb_uc_hrpe_hist_2,사망한 부모님 금융거래 한번에 조회하려면 어디 가서 접수하면 돼요? 은행에서도 되나요?,fact
★,0.6964,amb_dp_josa_objc_1,조사 받은 내용에 억울한 게 있으면 어떻게 이의제기해요?,faq,link_guide,amb_dp_josa_objc_2,조사 이의제기를 인터넷으로 하려면 어디로 들어가요?,link_guide
★,0.6964,amb_dp_josa_objc_2,조사 이의제기를 인터넷으로 하려면 어디로 들어가요?,link_guide,faq,amb_dp_josa_objc_1,조사 받은 내용에 억울한 게 있으면 어떻게 이의제기해요?,faq
★,0.6888,amb_ms_expln_5,저축은행 망한 지 한참 됐는데 아직 안 찾아간 보험금 지금도 받을 수 있어요?,fact,link_guide,amb_ms_trgt_fnst_1,내가 예금 넣어둔 저축은행이 보험금 받을 수 있는 곳인지 찾아보는 페이지 좀 열어줘,link_guide
★,0.6810,amb_uc_gudn_4,돈 찾으려면 원래 거래하던 그 망한 은행 담당 지점 찾아가야되나요 아무데나 가도 됨?,faq,link_guide,amb_uc_gudn_5,내가 예전에 거래한 그 망한 금융회사 자세한 정보는 어디서 찾아봐요?,link_guide
★,0.6746,amb_mtrs_gvbk_proc_1,예툰이 예솜이 나오는 착오송금 절차 설명 그거 보고 싶어요,faq,link_guide,amb_kmrs_apply_mthd_2,온라인으로 착오송금 신청하는 사이트 좀 들어가게 해줘,link_guide
★,0.6628,amb_dr_info_aply_4,내 채무정보 조회하는 페이지로 좀 들어가게 해줘요,link_guide,fact,dr_info_aply_q9,채무정보 조회 및 상담 신청 절차 중 가장 첫 단계로 채무자가 해야 할 일은 무엇인가요?,fact
★,0.6388,dr_info_aply_q1,예금보험공사 홈페이지에서 본인인증을 통해 파산금융회사 및 KR&C 채무가 있는지 직접 온라인으로 확인해 볼 수 있는 메뉴의 웹사이트 링크는 어떻게 되나요?,link_guide,faq,amb_dr_info_aply_1,제가 망한 금융회사에 빚이 있는지 인터넷으로 확인해볼 수 있나요?,faq
★,0.6375,faq_nramt_q4,예금담보대출은 어느 은행에서 받을 수 있나요?,faq,link_guide,ms_aply_proc_q2,예금보험금을 인터넷으로 신청할 수 있는 곳이 어디예요?,link_guide
★,0.6298,dr_debt_cert_q1,"파산금융회사의 파산절차가 이미 법적으로 완전히 종결된 경우, 채무자가 신청 가능한 발급 서식은 무엇인가요?",fact,link_guide,uc_tel_qust_q3,파산절차 관련 건의사항은 어디로 보내면 되나요?,link_guide
★,0.6295,uc_tel_qust_q4,예금보험공사 IT서비스 데스크 전화번호와 운영시간은 어떻게 되나요?,fact,link_guide,ms_aply_proc_q2,예금보험금을 인터넷으로 신청할 수 있는 곳이 어디예요?,link_guide
★,0.6207,mtrs_rel_law_q10,관련법령 및 규정 페이지에서 확인할 수 있는 법령·규정은 무엇인가요?,fact,link_guide,dp_josa_law_q9,조사 관련 규정뿐 아니라 시행세칙도 법령정보시스템에서 확인할 수 있나요?,link_guide
★,0.6207,dp_josa_law_q9,조사 관련 규정뿐 아니라 시행세칙도 법령정보시스템에서 확인할 수 있나요?,link_guide,fact,mtrs_rel_law_q10,관련법령 및 규정 페이지에서 확인할 수 있는 법령·규정은 무엇인가요?,fact
★,0.6134,uc_itgr_aply_q9,지급대행점 방문신청은 부실금융회사별로 구분해서 해야 하나요?,fact,link_guide,uc_itgr_aply_q8,미수령금 방문신청 시 지급대행점은 어디서 조회하나요?,link_guide
★,0.5981,ms_trgt_fnst_q7,진흥저축은행 연락처가 어떻게 되나요?,table_lookup,link_guide,amb_dp_fnst_srch_3,저축은행 목록이랑 주소 연락처 조회하는 화면 띄워줘,link_guide
★,0.5753,amb_mtrs_vst_rcpt_2,예보 고객센터 지하철로 어떻게 가는지 알려줘,link_guide,faq,amb_kmrs_aply_trgt_4,"예보에 바로 신청하면 되나요, 아니면 먼저 뭐부터 해야 돼요?",faq
★,0.5638,ms_expln_q9,정상 영업 중인 은행·보험·우체국의 휴면계좌는 어디서 조회하나요?,link_guide,faq,faq_nramt_q3,영업정지된 저축은행의 예금은 언제 찾을 수 있나요?,faq
★,0.5608,amb_kmrs_itrd_3,이 제도 소개하는 영상 있으면 보고 싶어요,faq,link_guide,kmrs_itrd_q2,착오송금반환지원 제도를 소개하는 안내영상은 어디서 볼 수 있나요?,link_guide
,0.9666,dp_logo_q1,예금보호 로고 색상을 임의로 바꿔도 되나요?,fact,faq,amb_dp_logo_1,예금보호 로고 색깔을 내 맘대로 바꿔서 써도 돼요?,faq
,0.9666,amb_dp_logo_1,예금보호 로고 색깔을 내 맘대로 바꿔서 써도 돼요?,faq,fact,dp_logo_q1,예금보호 로고 색상을 임의로 바꿔도 되나요?,fact
,0.9595,faq_msdr_apply_q1,착오송금 반환지원 대상 금액은 얼마까지인가요?,faq,fact,kmrs_aply_trgt_q1,착오송금 반환지원 신청이 가능한 금액 한도는 얼마인가요?,fact
,0.9595,kmrs_aply_trgt_q1,착오송금 반환지원 신청이 가능한 금액 한도는 얼마인가요?,fact,faq,faq_msdr_apply_q1,착오송금 반환지원 대상 금액은 얼마까지인가요?,faq
,0.9420,dp_svbk_hist_q2,HK저축은행은 현재 어떤 이름인가요?,table_lookup,fact,amb_dp_svbk_hist_2,HK저축은행 지금 무슨 이름으로 바뀐 거예요?,fact
,0.9420,amb_dp_svbk_hist_2,HK저축은행 지금 무슨 이름으로 바뀐 거예요?,fact,table_lookup,dp_svbk_hist_q2,HK저축은행은 현재 어떤 이름인가요?,table_lookup
,0.9300,faq_msdr_apply_q4,착오송금 반환지원 대상에서 제외되는 경우는 무엇인가요?,faq,fact,sender_attention_q4,착오송금 수취인과 관련된 반환지원 제외 사유에는 어떤 것이 있나요?,fact
,0.9300,sender_attention_q4,착오송금 수취인과 관련된 반환지원 제외 사유에는 어떤 것이 있나요?,fact,faq,faq_msdr_apply_q4,착오송금 반환지원 대상에서 제외되는 경우는 무엇인가요?,faq
,0.9284,ms_expln_q2,개산지급금이 뭔가요?,fact,faq,faq_nramt_q7,개산지급금 제도는 무엇인가요?,faq
,0.9284,faq_nramt_q7,개산지급금 제도는 무엇인가요?,faq,fact,ms_expln_q2,개산지급금이 뭔가요?,fact
,0.9254,sender_attention_q5,착오송금 수취계좌가 어떤 경우에 반환지원 대상에서 제외되나요?,fact,faq,faq_msdr_apply_q4,착오송금 반환지원 대상에서 제외되는 경우는 무엇인가요?,faq
,0.9209,faq_top10_q2,상속인금융거래조회 결과는 얼마나 조회할 수 있나요?,faq,fact,amb_faq_top10_1,상속인 금융거래 조회한 결과는 며칠이나 볼 수 있어요?,fact
,0.9209,amb_faq_top10_1,상속인 금융거래 조회한 결과는 며칠이나 볼 수 있어요?,fact,faq,faq_top10_q2,상속인금융거래조회 결과는 얼마나 조회할 수 있나요?,faq
,0.9164,kmrs_itrd_q3,잘못 보낸 돈 되찾기 서비스는 누구를 위한 서비스인가요?,fact,faq,amb_kmrs_itrd_1,잘못 보낸 돈 되찾게 도와주는 서비스 그게 뭐하는 거예요?,faq
,0.9164,amb_kmrs_itrd_1,잘못 보낸 돈 되찾게 도와주는 서비스 그게 뭐하는 거예요?,faq,fact,kmrs_itrd_q3,잘못 보낸 돈 되찾기 서비스는 누구를 위한 서비스인가요?,fact
,0.9125,dp_protlmts_q5,법인 명의로 된 예금도 1억원까지 보호되나요?,fact,faq,dp_faq_page_q5,법인의 예금도 개인처럼 1억원까지 보호되나요?,faq
,0.9125,dp_faq_page_q5,법인의 예금도 개인처럼 1억원까지 보호되나요?,faq,fact,dp_protlmts_q5,법인 명의로 된 예금도 1억원까지 보호되나요?,fact
,0.9089,uc_bkrp_fndt_q9,파산재단 현황 통계는 언제 기준인가요?,table_lookup,fact,amb_uc_bkrp_fndt_5,이 파산재단 통계는 언제 기준 자료예요?,fact
,0.9089,amb_uc_bkrp_fndt_5,이 파산재단 통계는 언제 기준 자료예요?,fact,table_lookup,uc_bkrp_fndt_q9,파산재단 현황 통계는 언제 기준인가요?,table_lookup
,0.9011,faq_nramt_q2,계열 저축은행 여러 곳에 나눠 예금하면 각각 보호되나요?,faq,fact,amb_faq_nramt_1,계열 저축은행 여러 군데에 나눠서 넣으면 각각 1억씩 보호돼요?,fact
,0.9011,amb_faq_nramt_1,계열 저축은행 여러 군데에 나눠서 넣으면 각각 1억씩 보호돼요?,fact,faq,faq_nramt_q2,계열 저축은행 여러 곳에 나눠 예금하면 각각 보호되나요?,faq
,0.8910,mtrs_rel_law_q1,착오송금 반환지원과 관련해 안내되는 법률과 시행령은 무엇인가요?,fact,faq,amb_mtrs_rel_law_1,착오송금 반환지원이 무슨 법에 근거한 거예요?,faq
,0.8910,amb_mtrs_rel_law_1,착오송금 반환지원이 무슨 법에 근거한 거예요?,faq,fact,mtrs_rel_law_q1,착오송금 반환지원과 관련해 안내되는 법률과 시행령은 무엇인가요?,fact
,0.8903,faq_top10_q8,착오송금이 발생하면 언제까지 신청해야 하나요?,faq,fact,kmrs_aply_trgt_q2,착오송금 반환지원은 언제까지 신청해야 하나요?,fact
,0.8871,amb_uc_tel_qust_1,제가 이름을 바꿨는데 옛날 이름으로 된 미수령금 그냥 신청하면 되나요?,faq,fact,uc_tel_qust_q8,개명 등으로 이름이 바뀐 명의로 미수령금을 신청하면 어떻게 되나요?,fact
,0.8817,uc_bkrp_spcl_ast_q7,특별자산에는 어떤 유형이 있나요? 골프장 외에 다른 것도 있나요?,fact,faq,amb_uc_bkrp_spcl_ast_2,특별자산이라는 거에 골프장이나 외제차 이런 것도 들어가요?,faq
,0.8817,amb_uc_bkrp_spcl_ast_2,특별자산이라는 거에 골프장이나 외제차 이런 것도 들어가요?,faq,fact,uc_bkrp_spcl_ast_q7,특별자산에는 어떤 유형이 있나요? 골프장 외에 다른 것도 있나요?,fact
,0.8813,ha_center_q4,"은닉재산 신고센터에 전화나 이메일로 상담을 요청하고 싶은데, 상담전화 번호와 이메일 주소는 무엇인가요?",fact,faq,ha_faq_dclr_q10,은닉재산 신고 외에 기타 자세한 사항이 궁금할 때 이용할 수 있는 상담전화 번호는 무엇인가요?,faq
,0.8813,ha_faq_dclr_q10,은닉재산 신고 외에 기타 자세한 사항이 궁금할 때 이용할 수 있는 상담전화 번호는 무엇인가요?,faq,fact,ha_center_q4,"은닉재산 신고센터에 전화나 이메일로 상담을 요청하고 싶은데, 상담전화 번호와 이메일 주소는 무엇인가요?",fact
,0.8712,dp_gudn_faq_q7,법인 고객도 설명·확인제도의 적용을 받나요?,faq,fact,amb_dp_gudn_faq_5,법인 고객도 이 설명·확인을 받아야 하는 대상이에요?,fact
,0.8712,amb_dp_gudn_faq_5,법인 고객도 이 설명·확인을 받아야 하는 대상이에요?,fact,faq,dp_gudn_faq_q7,법인 고객도 설명·확인제도의 적용을 받나요?,faq
,0.8681,dr_debt_cert_q4,"부채증명원/금융거래정보는 원칙적으로 어떤 방식으로 신청해야 하며, 직접 내방하여 신청할 수 있는 장소는 어디인가요?",fact,table_lookup,dr_debt_cert_q6,부채증명원/금융거래정보를 본인이 직접 방문하여 신청할 때 준비해야 하는 서류는 무엇인가요?,table_lookup
,0.8681,dr_debt_cert_q6,부채증명원/금융거래정보를 본인이 직접 방문하여 신청할 때 준비해야 하는 서류는 무엇인가요?,table_lookup,fact,dr_debt_cert_q4,"부채증명원/금융거래정보는 원칙적으로 어떤 방식으로 신청해야 하며, 직접 내방하여 신청할 수 있는 장소는 어디인가요?",fact
,0.8618,faq_nramt_q6,계열 저축은행 여러 곳에 예금한 경우 보호한도는 계열 전체를 합쳐 1억원인가요?,faq,fact,amb_faq_nramt_1,계열 저축은행 여러 군데에 나눠서 넣으면 각각 1억씩 보호돼요?,fact
,0.8613,dp_prdct_srch_q7,변액보험 상품은 이 보호금융상품 목록에 포함되어 있나요?,fact,faq,amb_dp_prdct_srch_4,변액보험은 이 보호상품 목록에 왜 안 나와요?,faq
,0.8613,amb_dp_prdct_srch_4,변액보험은 이 보호상품 목록에 왜 안 나와요?,faq,fact,dp_prdct_srch_q7,변액보험 상품은 이 보호금융상품 목록에 포함되어 있나요?,fact
,0.8599,amb_ms_aply_proc_1,인터넷으로 예금보험금 신청하면 돈은 언제쯤 통장에 들어와요?,faq,fact,ms_aply_proc_q1,예금보험금 신청하면 언제 입금되나요?,fact
,0.8542,uc_tel_qust_q5,미수령금 관련 고객 문의 대표번호는 무엇인가요?,fact,faq,amb_uc_tel_qust_2,미수령금 관련해서 사람이랑 직접 통화하고 싶은데 어디로 전화하면 돼요?,faq
,0.8542,amb_uc_tel_qust_2,미수령금 관련해서 사람이랑 직접 통화하고 싶은데 어디로 전화하면 돼요?,faq,fact,uc_tel_qust_q5,미수령금 관련 고객 문의 대표번호는 무엇인가요?,fact
,0.8534,uc_bkrp_spcl_ast_q8,고가의 외제차량도 특별자산에 해당하나요?,fact,faq,amb_uc_bkrp_spcl_ast_2,특별자산이라는 거에 골프장이나 외제차 이런 것도 들어가요?,faq
,0.8443,dp_protlmts_q1,예금자보호 한도는 얼마인가요?,fact,table_lookup,dp_ovrs_q1,미국의 예금보호한도는 얼마인가요?,table_lookup
,0.8433,uc_bkrp_spcl_mng_q5,골프장·선박·미술품 같은 유사 성격의 특별자산은 어떻게 관리하나요?,fact,faq,amb_uc_bkrp_spcl_mng_3,"골프장이나 선박, 미술품 같은 비슷한 자산들은 묶어서 관리하나요?",faq
,0.8433,amb_uc_bkrp_spcl_mng_3,"골프장이나 선박, 미술품 같은 비슷한 자산들은 묶어서 관리하나요?",faq,fact,uc_bkrp_spcl_mng_q5,골프장·선박·미술품 같은 유사 성격의 특별자산은 어떻게 관리하나요?,fact
,0.8426,receiver_docs_q2,착오송금액반환 관련 이체수수료 환급신청을 온라인으로 할 때 제출해야 하는 서류는 무엇인가요?,table_lookup,fact,kmrs_apply_mthd_q4,착오송금 반환지원을 온라인으로 신청할 때 준비물은 무엇인가요?,fact
,0.8413,uc_bkrp_trst_psta_q8,신탁부동산 유형에 골프장도 포함되나요?,fact,faq,amb_uc_bkrp_trst_psta_3,"신탁부동산에 아파트 사업부지나 상가, 골프장 이런 것도 있어요?",faq
,0.8413,amb_uc_bkrp_trst_psta_3,"신탁부동산에 아파트 사업부지나 상가, 골프장 이런 것도 있어요?",faq,fact,uc_bkrp_trst_psta_q8,신탁부동산 유형에 골프장도 포함되나요?,fact
,0.8397,uc_hrpe_hist_q5,상속인 금융거래 조회 결과로는 어떤 정보가 제공되나요?,fact,faq,faq_top10_q2,상속인금융거래조회 결과는 얼마나 조회할 수 있나요?,faq
,0.8352,dp_gudn_q1,표시·설명·확인 제도는 왜 운영하나요?,fact,faq,amb_dp_gudn_3,이런 표시·설명 제도는 대체 왜 있는 거예요?,faq
,0.8352,amb_dp_gudn_3,이런 표시·설명 제도는 대체 왜 있는 거예요?,faq,fact,dp_gudn_q1,표시·설명·확인 제도는 왜 운영하나요?,fact
,0.8333,amb_dp_prdct_3,증권사 CMA 통장에 있는 돈은 보호돼요?,faq,table_lookup,dp_prdct_q2,증권사 CMA는 예금자보호를 받을 수 있나요?,table_lookup
,0.8266,dr_debt_cert_q5,부채증명원/금융거래정보를 인터넷으로 신청할 때 필요한 구비서류는 무엇인가요?,table_lookup,fact,amb_dr_debt_cert_2,인터넷으로 부채증명원 신청하려면 뭐 있어야 돼요? 공인인증서 그런거요?,fact
,0.8266,amb_dr_debt_cert_2,인터넷으로 부채증명원 신청하려면 뭐 있어야 돼요? 공인인증서 그런거요?,fact,table_lookup,dr_debt_cert_q5,부채증명원/금융거래정보를 인터넷으로 신청할 때 필요한 구비서류는 무엇인가요?,table_lookup
,0.8260,receiver_docs_q4,이체수수료 환급신청을 방문으로 할 때 필요한 서류는 무엇인가요?,table_lookup,fact,amb_receiver_attention_4,이체수수료 환급 신청할 때 팩스나 이메일 어디로 보내요?,fact
,0.8253,sender_docs_q3,착오송금 반환지원 신청 후 대리인을 변경하려면 온라인으로 처리할 수 있나요?,fact,faq,faq_msdr_apply_q6,착오송금 반환지원은 온라인으로만 신청 가능한가요?,faq
,0.8241,sender_docs_q8,반환금을 착오송금 계좌가 아닌 다른 계좌로 받으려면 어떻게 해야 하나요?,fact,faq,amb_sender_docs_5,반환금 받을 계좌를 딴 걸로 바꾸고 싶은데 어떻게 해요?,faq
,0.8241,amb_sender_docs_5,반환금 받을 계좌를 딴 걸로 바꾸고 싶은데 어떻게 해요?,faq,fact,sender_docs_q8,반환금을 착오송금 계좌가 아닌 다른 계좌로 받으려면 어떻게 해야 하나요?,fact
,0.8229,amb_sender_qlfc_check_2,착오송금이 2021년 7월 6일보다 전에 일어난 거면 신청 안 되는 거죠?,fact,faq,faq_top10_q8,착오송금이 발생하면 언제까지 신청해야 하나요?,faq
,0.8228,dp_fnst_q1,예금보험공사의 보호대상 금융회사에는 어떤 종류가 있나요?,fact,table_lookup,amb_dp_fnst_3,지금 예금보험 보호되는 금융회사가 전부 몇 군데예요?,table_lookup
,0.8228,amb_dp_fnst_3,지금 예금보험 보호되는 금융회사가 전부 몇 군데예요?,table_lookup,fact,dp_fnst_q1,예금보험공사의 보호대상 금융회사에는 어떤 종류가 있나요?,fact
,0.8226,amb_dp_faq_page_1,예금 1억까지 보호되는 걸로 바뀐 게 언제부터예요?,fact,faq,dp_faq_page_q1,예금보호한도 1억원은 언제부터 적용됐나요?,faq
,0.8202,uc_bkrp_trst_mng_q10,신탁부동산 전담관리그룹에서 여신전문은 누가 담당하나요?,fact,faq,amb_uc_bkrp_trst_mng_3,신탁부동산 관리팀에서 여신 실무는 누가 맡아요?,faq
,0.8202,amb_uc_bkrp_trst_mng_3,신탁부동산 관리팀에서 여신 실무는 누가 맡아요?,faq,fact,uc_bkrp_trst_mng_q10,신탁부동산 전담관리그룹에서 여신전문은 누가 담당하나요?,fact
,0.8202,dp_logo_q2,예금보호 로고는 어디에 사용할 수 있나요?,fact,file_download,amb_dp_logo_2,예금보호 로고 이미지 다운받는 데 어디예요?,file_download
,0.8202,amb_dp_logo_2,예금보호 로고 이미지 다운받는 데 어디예요?,file_download,fact,dp_logo_q2,예금보호 로고는 어디에 사용할 수 있나요?,fact
,0.8184,amb_kmrs_aply_trgt_2,잘못 보낸 돈 얼마부터 얼마까지 신청 받아줘요?,table_lookup,faq,amb_kmrs_aply_trgt_3,돈 잘못 보낸 지 얼마나 지나면 신청 못 해요?,faq
,0.8184,amb_kmrs_aply_trgt_3,돈 잘못 보낸 지 얼마나 지나면 신청 못 해요?,faq,table_lookup,amb_kmrs_aply_trgt_2,잘못 보낸 돈 얼마부터 얼마까지 신청 받아줘요?,table_lookup
,0.8177,amb_mtrs_stut_chc_1,돈 잘못 보낸 사람이랑 잘못 받은 사람 중에 뭘 눌러야 신청해요?,faq,table_lookup,amb_kmrs_aply_trgt_2,잘못 보낸 돈 얼마부터 얼마까지 신청 받아줘요?,table_lookup
,0.8177,dp_gudn_data_q7,예금보호 로고 사용 안내 자료는 언제 등록되었나요?,file_download,fact,dp_logo_q2,예금보호 로고는 어디에 사용할 수 있나요?,fact
